Unnamed: 0,group,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,average height,average weight,average expectancy
Affenpinscher,Toy Group,0.6,0.6,0.6,0.8,1.0,26.035,3.855535145,13.5
Afghan Hound,Hound Group,0.8,0.2,0.8,0.2,0.2,66.03999999999999,24.947580350000003,13.5
Airedale Terrier,Terrier Group,0.6,0.4,0.6,1.0,0.8,58.42,27.2155422,12.5
Akita,Working Group,0.8,0.6,0.8,1.0,0.6,66.04,45.359237,11.5
Alaskan Malamute,Working Group,0.6,0.6,0.8,0.4,0.8,60.96,36.2873896,12.0
American Bulldog,Foundation Stock Service,0.2,0.6,0.8,0.6,0.6,57.15,36.2873896,11.0
American English Coonhound,Hound Group,0.2,0.4,0.8,0.6,0.6,62.230000000000004,24.947580350000003,11.5
American Eskimo Dog,Non-Sporting Group,0.4,0.6,0.8,1.0,1.0,35.56,9.298643585,14.0
American Foxhound,Hound Group,0.2,0.6,0.8,0.4,0.8,58.42,29.48350405,12.0
American Hairless Terrier,Terrier Group,0.2,0.2,0.6,1.0,0.6,35.56,6.35029318,15.0
American Leopard Hound,Foundation Stock Service,0.4,0.6,0.8,1.0,0.6,60.96,26.081561275000002,13.5
American Staffordshire Terrier,Terrier Group,0.2,0.4,0.6,0.6,0.6,45.72,24.947580350000003,14.0
American Water Spaniel,Sporting Group,0.6,0.2,0.6,1.0,0.8,41.91,15.87573295,12.0
Anatolian Shepherd Dog,Working Group,0.4,0.6,0.6,0.4,0.4,71.12,52.16312255,12.0
Appenzeller Sennenhund,Foundation Stock Service,0.4,0.8,1.0,0.2,0.4,52.07,26.76194983,13.5
Australian Cattle Dog,Herding Group,0.2,0.8,1.0,0.2,0.4,46.989999999999995,19.277675725,14.0
Australian Kelpie,Foundation Stock Service,0.4,0.8,0.8,1.0,0.6,46.989999999999995,19.27765,11.5
Australian Shepherd,Herding Group,0.4,0.6,0.8,1.0,0.6,52.07,23.813599425,13.5
Australian Stumpy Tail Cattle Dog,Foundation Stock Service,0.4,0.4,0.8,0.8,0.6,46.989999999999995,17.463306245000002,13.5
Australian Terrier,Terrier Group,0.4,0.2,0.8,0.6,0.8,26.67,7.937866475,13.0
Azawakh,Hound Group,0.4,0.4,0.6,0.4,0.8,66.675,19.958064280000002,13.5
Barbet,Sporting Group,0.4,0.2,0.6,0.6,0.8,55.245,22.6796185,13.0
Basenji,Hound Group,0.2,0.4,0.8,0.4,0.4,41.91,10.43262451,13.5
Basset Fauve de Bretagne,Foundation Stock Service,0.4,0.6,0.6,0.2,1.0,35.56,14.06136347,12.0
Basset Hound,Hound Group,0.6,0.4,0.2,0.4,0.8,38.1,23.813599425,12.5
Bavarian Mountain Scent Hound,Foundation Stock Service,0.4,0.8,0.6,0.6,0.4,47.625,23.360007055000004,13.5
Beagle,Hound Group,0.6,0.6,0.8,0.6,0.8,35.56,9.752235955,12.5
Bearded Collie,Herding Group,0.8,0.6,0.6,0.4,1.0,53.34,22.679618500000004,13.0
Beauceron,Herding Group,0.6,1.0,1.0,0.8,0.4,65.405,40.8233133,11.0
Bedlington Terrier,Terrier Group,0.6,0.2,0.8,0.6,0.6,41.275000000000006,9.0718474,13.5
Belgian Laekenois,Miscellaneous Class,0.4,0.8,0.8,0.8,0.4,60.96000000000001,27.2155422,11.0
Belgian Malinois,Herding Group,0.4,0.6,0.8,0.8,0.4,60.96000000000001,27.215542199999998,15.0
Belgian Sheepdog,Herding Group,0.6,0.6,0.8,0.8,0.4,60.96000000000001,27.2155422,13.0
Belgian Tervuren,Herding Group,0.6,0.6,0.8,0.8,0.4,60.96000000000001,27.2155422,13.0
Bergamasco Sheepdog,Herding Group,0.2,0.2,0.4,0.6,0.4,57.785,31.978262085,14.0
Berger Picard,Herding Group,0.2,0.6,1.0,0.8,0.6,59.69,27.2155422,12.5
Bernese Mountain Dog,Working Group,0.6,1.0,0.8,0.8,0.4,64.13499999999999,41.957294225,8.5
Bichon Frise,Non-Sporting Group,1.0,0.2,0.6,0.6,1.0,26.67,6.80388555,14.5
Biewer Terrier,Miscellaneous Class,0.6,0.2,0.4,1.0,1.0,22.86,2.7215542200000002,16.0
Black and Tan Coonhound,Hound Group,0.4,0.6,0.6,0.4,0.8,63.5,39.689332375000006,11.0
Black Russian Terrier,Working Group,0.8,0.6,0.8,0.8,0.4,71.12,47.62719885,11.0
Bloodhound,Hound Group,0.4,0.6,0.6,0.4,0.6,63.5,43.09127515,11.0
Bluetick Coonhound,Hound Group,0.4,0.6,0.8,0.6,0.8,60.96,28.349523124999997,11.5
Boerboel,Working Group,0.2,0.4,0.4,0.6,0.4,62.230000000000004,79.37866475,10.0
Bohemian Shepherd,Foundation Stock Service,0.2,0.4,0.6,0.8,0.6,52.07000000000001,21.999229945000003,13.5
Bolognese,Foundation Stock Service,0.6,0.2,0.4,0.6,0.8,27.939999999999998,3.2885446825000004,13.0
Border Collie,Herding Group,0.6,0.6,1.0,1.0,0.4,50.8,19.277675725,13.5
Border Terrier,Terrier Group,0.4,0.4,0.6,0.8,0.8,34.29,6.123496995,13.5
Borzoi,Hound Group,0.4,0.6,0.8,0.4,0.6,68.58000000000001,37.421370525,11.5
Boston Terrier,Non-Sporting Group,0.4,0.2,0.6,1.0,1.0,40.64,8.391458845,12.0
Bouvier des Flandres,Herding Group,0.8,0.6,0.8,0.6,0.6,64.77,40.8233133,11.0
Boxer,Working Group,0.4,0.4,0.8,0.8,1.0,59.055,21.545637575,11.0
Boykin Spaniel,Sporting Group,0.6,0.6,0.6,1.0,0.6,40.64,14.741752025,12.5
Bracco Italiano,Miscellaneous Class,0.2,0.4,0.8,0.8,0.6,60.96,32.885446825,12.0
Braque du Bourbonnais,Foundation Stock Service,0.2,0.2,0.6,1.0,0.6,52.705,19.958064280000002,11.0
Braque Francais Pyrenean,Foundation Stock Service,0.2,0.6,1.0,0.6,0.6,52.705,21.545637575,13.5
Briard,Herding Group,0.8,0.2,0.6,0.4,0.4,62.230000000000004,35.153408675,12.0
Brittany,Sporting Group,0.6,0.6,1.0,1.0,0.8,48.260000000000005,15.87573295,13.0
Broholmer,Foundation Stock Service,0.2,0.6,0.4,0.6,0.6,72.39,54.4310844,9.0
Brussels Griffon,Toy Group,0.6,0.6,0.6,0.6,0.8,21.59,4.082331330000001,13.5
Bull Terrier,Terrier Group,0.4,0.6,0.8,0.4,0.8,54.61,27.2155422,12.5
Bulldog,Non-Sporting Group,0.6,0.8,0.6,0.6,0.8,36.83,20.411656649999998,9.0
Bullmastiff,Working Group,0.2,0.6,0.8,0.6,0.6,64.77,52.16312255,8.0
Cairn Terrier,Terrier Group,0.4,0.4,0.6,0.6,0.8,24.765,6.123496995,14.0
Canaan Dog,Herding Group,0.4,1.0,0.6,0.4,0.4,54.61,20.41165665,13.5
Cane Corso,Working Group,0.2,0.4,0.8,0.6,0.6,64.77,45.0,10.5
Cardigan Welsh Corgi,Herding Group,0.4,0.6,0.8,0.6,0.6,29.21,14.288159655000001,13.5
Carolina Dog,Foundation Stock Service,0.2,0.6,0.6,1.0,0.6,47.307500000000005,19.277675725,13.5
Catahoula Leopard Dog,Foundation Stock Service,0.4,0.6,1.0,0.4,0.4,58.42,32.885446825,12.0
Caucasian Shepherd Dog,Foundation Stock Service,0.6,0.8,0.4,0.4,0.2,67.31,61.00817376500001,11.0
Cavalier King Charles Spaniel,Toy Group,0.4,0.4,0.4,1.0,0.8,31.75,7.030681735000001,13.5
Central Asian Shepherd Dog,Foundation Stock Service,0.2,0.6,0.4,0.4,0.2,67.31,44.90564463,12.5
Cesky Terrier,Terrier Group,0.4,0.4,0.6,0.6,0.4,29.21,8.61825503,13.5
Chesapeake Bay Retriever,Sporting Group,0.6,0.8,0.8,0.6,0.4,59.690000000000005,30.617484975,11.5
Chihuahua,Toy Group,0.2,0.4,0.6,0.4,0.6,16.509999999999998,2.72155422,15.0
Chinese Crested,Toy Group,0.2,0.2,0.6,0.6,0.8,30.480000000000004,4.535923700000001,15.5
Chinese Shar-Pei,Non-Sporting Group,0.2,0.8,0.6,0.2,0.4,48.26,23.813599425,10.0
Chinook,Working Group,0.4,0.6,0.8,1.0,0.8,60.96000000000001,31.7514659,13.5
Chow Chow,Non-Sporting Group,0.6,0.6,0.6,0.2,0.4,46.989999999999995,26.081561275000002,10.0
Cirneco dell’Etna,Hound Group,0.2,0.2,0.6,0.6,0.6,45.72,9.752235955,13.0
Clumber Spaniel,Sporting Group,0.4,0.8,0.6,0.6,0.4,46.989999999999995,31.751465900000003,11.0
Cocker Spaniel,Sporting Group,0.8,0.4,0.6,1.0,1.0,36.83,11.33980925,12.0
Collie,Herding Group,0.6,0.6,0.6,0.8,0.8,60.96000000000001,28.349523124999997,13.0
Coton de Tulear,Non-Sporting Group,0.8,0.4,0.6,0.8,1.0,25.4,5.216312255,17.0
Croatian Sheepdog,Foundation Stock Service,0.2,0.4,1.0,1.0,0.4,45.72,16.556121505,13.5
Curly-Coated Retriever,Sporting Group,0.2,0.4,0.8,0.4,0.4,63.5,35.153408675,11.0
Czechoslovakian Vlcak,Foundation Stock Service,0.4,1.0,1.0,0.2,0.2,62.23,22.906414685,12.5
Dachshund,Hound Group,0.4,0.4,0.6,0.6,0.6,17.78,9.752235955,14.0
